houseHigh,totalPrice,title,region,year,houseType,houseElevator,area,station,types,houseFitment,houseDirection,line,totalHigh,unitPrice,houseArea,distance
中楼层,225,凤馨苑 中高层采光好 三房双卫,碧桂园凤凰城凤馨苑 ,2002, 3室2厅 , 有电梯,新塘,,塔楼, 简装 , 北 ,,18,24163, 93.12,
高楼层,258,富力桃园，方正两房，南向望花园,富力桃园 ,2004, 2室2厅 , 有电梯,罗冲围,,塔楼,其他, 南 ,,32,33890, 76.13,
高楼层,455,翠山蓝天 带阁楼 带入户花园 能改复式,华南碧桂园翠山蓝天苑 ,2001, 3室2厅 , 有电梯,华南,,塔楼,其他, 西南 ,,8,39566, 115,
高楼层,375,锦绣香江 华府二期 高层 通风采光好,锦绣香江花园山水华府 ,2004, 3室2厅 , 有电梯,华南,,塔楼, 精装 , 东北 ,,20,41346, 90.7,
高楼层,280,金碧世纪花园，精装高层两房,金碧世纪花园 ,2004, 2室2厅 , 有电梯,区府,,塔楼, 精装 , 北 ,,32,38247, 73.21,
中楼层,270,云山居 简装三房 东南向 户型方正,云山居 ,2000, 3室2厅 , 无电梯,白云大道北,,塔楼, 简装 , 东南 ,,6,26471, 102,
中楼层,405,富力桃园 方正三房 中间楼层,富力桃园 ,2004, 3室2厅 , 有电梯,罗冲围,,塔楼,其他, 北 ,,29,36161, 112,
高楼层,830,东逸花园 3期高层 装修保养很好,新世界东逸花园 ,2003, 3室2厅 , 有电梯,天河公园,,塔楼, 简装 , 西北 ,,28,65874, 126,
高楼层,850,芳草园 精装三房 大型花园小区 安静,芳草园A区 ,2004, 3室2厅 , 有电梯,天河北,华师站,塔楼, 简装 , 北 ,3号线,30,72619, 117.05,899米
低楼层,438.9,富力桃园B区 精致典雅4房 保养好 采光,富力桃园 ,2004, 4室2厅 , 有电梯,罗冲围,,塔楼,其他, 南 ,,32,33000, 133,
低楼层,1236.9,南向 三房 全新装修 即买即住,方圆月岛 ,2009, 3室2厅 , 有电梯,珠江新城中,猎德站,塔楼, 精装 , 南 ,5号线,46,93000, 133,277米
高楼层,480,华景新城五期 电梯大三房带主套 新装修,华景新城怡华台 ,1999, 3室2厅 ,未知,华景新城,,塔楼, 精装, 西南 ,,17,52748, 91,
高楼层,370,一尺山居高层三房 过五年住房,广州雅居乐花园一尺山居 ,2010, 3室2厅 , 有电梯,华南,,塔楼, 精装 , 西南 ,,23,37000, 100,
中楼层,242,金碧世纪花园 高楼层 精装修,金碧世纪花园 ,2004, 2室2厅 , 有电梯,区府,,塔楼, 简装 , 北 ,,32,35073, 69,
高楼层,173,下塘两房 望山望林 随时看房,下塘西路 ,1993, 2室1厅 , 无电梯,麓景,小北站,塔楼, 简装 , 东南 ,5号线,9,29828, 58,612米
低楼层,230,毛纺小区 南北对流 带私家花园,毛纺小区赤岗东三街 ,1990, 2室2厅 , 无电梯,赤岗,赤岗站,塔楼, 精装 , 南 北 ,8号线,8,34918, 65.87,783米
低楼层,90,石化生活区 经典一房 格局方正 南北对流,石化生活区 ,1976, 1室1厅 ,未知,区府,文冲站,塔楼, 精装, 南 北 ,5号线,6,24404, 36.88,377米
低楼层,160,聚德花园 低层两房 配套完善,聚德花园 ,1997, 2室1厅 , 无电梯,赤岗,,塔楼,其他, 北 ,,9,28572, 56,
低楼层,235,龙光峰景华庭 精致三房 户型方正 望花园,龙光峰景华庭 ,塔楼  , 3室2厅 , 有电梯,科学城,, ,其他, 东北 ,,18,25628, 91.7,
中楼层,235,精装婚房推荐，搞定温馨小家,祈福新村月明轩 ,1995, 3室2厅 , 无电梯,祈福,,塔楼,其他, 北 ,,6,27977, 84,
高楼层,290,祈福新村 青怡3房,祈福新村青怡居 ,1995, 3室2厅 ,未知,祈福,,板楼,其他, 南 ,,5,27620, 105,
中楼层,190,荔香花园 实用两房 中间楼层,荔香花园 ,1996, 2室1厅 ,未知,区府,大沙地站,塔楼, 简装, 南 北 ,5号线,9,26840, 70.79,1122米
中楼层,375,南向中高层 户型方正 环境好 适合居家,保利林语山庄6区 ,塔楼  , 3室2厅 , 有电梯,科学城,金峰站, ,其他, 南 ,6号线,29,33618, 111.55,644米
高楼层,470,海珠半岛花园 江景 南北通透,海珠半岛花园 ,1997, 3室2厅 , 有电梯,滨江东,,塔楼, 精装 , 南 北 ,,31,52223, 90,
中楼层,305,金碧新城 望花园 视野开阔,金碧新城 ,2004, 3室1厅 , 有电梯,石井,,塔楼,其他, 西南 ,,11,34656, 88.01,
高楼层,205,趣园南街 南向3房 带固定露天车位出售,锦绣生态园趣园 ,2001, 3室2厅 , 无电梯,钟村,,塔楼,其他, 南 ,,6,21399, 95.8,
中楼层,195,棠德精装大两房 中层 安静望花园 南向,棠德花园C区 ,1997, 2室2厅 , 无电梯,棠下,,塔楼, 精装 , 南 ,,9,30098, 64.79,
中楼层,620,恒业大厦 电梯四房 安静舒适,恒业大厦 ,2006, 4室2厅 ,未知,员村,,塔楼,其他, 南 ,,20,52357, 118.42,
高楼层,280,侨城花园 电梯精致三房 采光通风望花园,侨诚花园宝通街 ,1998, 3室1厅 ,未知,金碧,东晓南站,塔楼, 精装, 东南 ,2号线,9,36621, 76.46,609米
高楼层,380,南雅苑 南北向三房 户型方正 采光好,南雅苑体育东横街 ,1998, 3室1厅 , 无电梯,天河南,石牌桥站,塔楼,其他, 南 北 ,3号线,8,44570, 85.26,724米
高楼层,155,晓港中马路  框架结构 实用大两房 安静,晓港中马路 ,板楼  , 2室1厅 ,未知,昌岗,晓港站, ,其他, 南 ,8号线,8,25972, 59.68,826米
中楼层,308,方正两房 采光好 证满五年,易丰大厦 ,2010, 2室2厅 ,未知,天河公园,,塔楼, 精装, 西 ,,18,49115, 62.71,
中楼层,198,湖景居  实用三房,祈福新村湖景居 ,1995, 3室2厅 , 无电梯,祈福,,板楼,其他, 北 ,,4,25000, 79.2,
中楼层,258,锦明街 户型方正 两房一厅 采光好,黄埔大道中锦明街 ,1990, 2室2厅 , 无电梯,天河公园,科韵路站,塔楼,其他, 南 ,5号线,9,39815, 64.8,841米
中楼层,480,美林海岸花园，东南向安静两房，楼层格局好,美林海岸花园美林湾畔 ,2004, 2室2厅 , 有电梯,员村,科韵路站,塔楼, 精装 , 东南 ,5号线,18,59012, 81.34,905米
高楼层,120,雅怡居 北向一房一厅 安静 配套完善,雅怡居A区 ,2000, 1室1厅 , 无电梯,东圃,,塔楼, 简装 , 北 ,,9,26184, 45.83,
高楼层,472,怡港花园 东南向大三房 高层,怡港花园怡康楼 ,1999, 3室2厅 , 有电梯,区府,大沙地站,塔楼,其他, 东南 ,5号线,17,44626, 105.77,930米
高楼层,830,星汇云锦 实用两房 4月免征增值税个税,星汇云锦 ,2008, 2室2厅 ,未知,珠江新城西,珠江新城站,塔楼, 精装, 西北 ,3号线,45,85172, 97.45,596米
高楼层,385,锦绣香江紫荆园 精装两房 南向可以改三房,锦绣香江花园紫荆园 ,2004, 2室2厅 , 有电梯,华南,南村万博站,塔楼, 精装 , 西南 ,7号线,10,35000, 110,991米
中楼层,195,丰乐小区，精装修三房，交通方便,丰乐小区91号大院 ,1990, 3室2厅 , 无电梯,区府,大沙东站,塔楼, 简装 , 东南 ,5号线,8,25658, 76,744米
高楼层,225,自在城市花园 南向两房 楼层适中 采光充,自在城市花园自在雅苑 ,2004, 2室1厅 , 有电梯,华南,,塔楼, 简装 , 东南 ,,10,29221, 77,
低楼层,340,协和新世界 正宗的一房一厅 花园小区,协和新世界 ,2008, 1室1厅 , 有电梯,天河北,华师站,塔楼, 精装 , 北 ,3号线,32,72341, 47,902米
中楼层,510,美林海岸花园，东南向安静两房，楼层格局好,美林海岸花园美林湾畔 ,2004, 2室2厅 ,未知,员村,科韵路站,塔楼, 精装, 东南 ,5号线,18,62700, 81.34,905米
高楼层,150,白云明珠广场 新精装修 房入房两房 总价,机场路华明街白云明珠广场 ,1996, 2室1厅 , 有电梯,机场路,,塔楼, 精装 , 北 ,,14,31076, 48.27,
